"","x"
"571430815",7
"571464200",7
"569825715",11
"571527806",7
"548473051",11
"571525618",10
"537313158",7
"541536216",1
"569821470",7
"537261100",11
"541540569",11
"548440226",11
"595562635",10
"571691416",11
"596052605",7
"596028822",10
"576107598",11
"595568262",2
"596036453",2
"576120017",10
"571718621",10
"571471295",7
"571642127",11
"571654895",11
"571666289",7
"567742660",10
"571700636",2
"571624532",11
"571427524",10
"539640410",10
"595570553",10
"571500474",7
"527942865",11
"529807751",5
"580145037",1
"609435731",1
"539014038",6
"614767057",1
"583104750",10
"566671538",8
"563180078",3
"536951541",6
"567007144",8
"584254833",7
"571306690",3
"565863515",7
"586072188",8
"557998843",8
"557037024",8
"583138568",8
"565880475",8
"582644266",8
"578938153",3
"587045566",8
"582613001",8
"566647353",2
"623185845",2
"574036994",2
"565407476",8
"584682764",7
"589442285",9
"580010290",3
"584680861",7
"603402458",3
"614230805",11
"605660220",3
"554779051",1
"601927090",8
"584872371",8
"555001065",10
"554454458",3
"562541627",7
"559387643",3
"570896453",10
"564349611",6
"563226105",3
"561553133",10
"570896413",2
"598628992",3
"557874460",3
"589427435",7
"588712191",3
"582917630",8
"614197612",11
"565120091",10
"555019563",6
"586566174",2
"591268268",5
"580014328",1
"586072783",8
"574377552",1
"593321019",6
"584231995",10
"583138230",8
"586073683",1
"561985849",2
"585951863",1
"573622646",1
"591265629",10
"589760138",6
"591278744",5
"567927838",5
"561532710",6
"586071425",8
"574038330",2
"571379222",5
"599334696",3
"585946742",8
"585944237",8
"569809287",8
"569998790",1
"574059157",1
"580005568",7
"547262585",2
"585841870",1
"585925172",8
"583146274",8
"578485753",6
"585805211",1
"571396942",1
"569723367",5
"557252022",9
"586073850",1
"570946690",5
"594091004",6
"590558808",5
"585832440",6
"572609108",5
"565855793",2
"579662957",1
"554807924",1
"580162374",5
"592952680",2
"574992320",1
"569958754",2
"565415071",1
"579626068",6
"614777438",5
"571311039",1
"530731648",2
"560965993",6
"569723405",1
"607124114",7
"580007431",3
"580161872",1
"573404307",1
"557864274",3
"547325858",2
"574734127",6
"534303031",2
"555241040",2
"574993444",6
"565459685",6
"611610514",5
"571867358",1
"569965244",10
"555345752",6
"547344442",2
"567312865",10
"613396614",10
"528638057",7
"586379590",1
"613468354",10
"528623840",11
"611623402",10
"616647103",7
"588402092",7
"602822298",7
"613442532",7
"571735073",7
"571483807",11
"643575207",5
"611598198",10
"643572206",2
"643582610",1
"528636794",7
"561432315",1
"561435279",11
"637034000",11
"603423462",3
"583434059",1
"578774163",6
"561517025",1
"531520401",11
"570438732",6
"557261437",8
"567354967",10
"577369606",6
"566541912",6
"569670455",2
"571659461",10
"596020931",5
"596887423",10
"561465305",5
"637038252",10
"526714733",7
"537204107",7
"561469082",1
"562381210",7
"526727406",11
"614659629",11
"614635228",7
"566678900",1
"539542640",11
"476086391",4
"477127614",3
"589128331",9
"531523484",11
"539537094",7
"571624971",11
"545612828",11
"571450870",11
"587710671",1
"568568071",3
"517673596",11
"555241875",7
"560678143",9
"527116037",3
"537313600",11
"528706755",7
"586072464",8
"555341581",6
"508309649",11
